Date,Time,Club,Club Head Speed (mph),Ball Speed (mph),Launch Angle (deg),Launch Direction (deg),Total Spin (rpm),Carry Distance (yd),Total Distance (yd),Smash Factor,Accuracy (yd),Peak Height (yd)
"2024-02-09","09:30:41","5H","89.1","118.6","22.6","-6.2","5362","151.7","149.5","1.332","-16.7","104.0"
"2024-03-02","12:11:14","9H","90.8","120.1","16.8","-12.8","6337","130.7","138.4","1.323","11.6","90.8"
"2024-02-10","08:51:52","SW","76.7","89.9","49.9","6.3","9180","82.5","83.8","1.173","-4.7","63.9"
"2024-09-25","10:03:01","6H","91.2","121.9","23.4","14.5","6433","155.4","155.1","1.337","-9.4","89.2"
"2024-08-04","16:49:24","8H","90.2","117.9","21.0","5.7","5867","138.2","144.5","1.307","9.5","82.1"
"2024-03-28","15:04:05","7H","86.3","114.9","19.0","-13.2","5268","135.9","137.6","1.331","0.5","84.9"
"2024-08-19","11:35:14","5H","90.4","119.9","23.0","-4.9","4977","168.6","177.5","1.326","14.1","121.7"
"2024-07-21","18:52:12","Driver","102.7","151.7","14.1","-7.1","2611","288.1","288.9","1.478","2.2","225.4"
"2024-06-05","12:54:18","5W","98.2","137.7","22.0","-11.3","4774","205.0","202.6","1.402","9.8","158.4"
"2024-06-23","06:50:54","5H","91.4","121.7","16.6","5.9","3926","159.3","158.5","1.332","13.3","98.6"
"2024-06-06","19:52:16","4H","90.4","122.6","20.6","-2.4","5354","169.8","164.9","1.357","10.1","104.6"
"2024-01-21","10:28:57","3H","86.1","120.3","21.8","-2.2","4551","169.8","173.8","1.398","8.2","130.6"
"2024-11-27","07:40:51","4H","85.6","115.1","22.6","-13.7","4732","168.6","169.6","1.346","-5.3","84.4"
"2024-12-28","08:52:38","4H","95.8","127.0","15.6","-11.8","5448","177.0","183.3","1.326","-16.6","131.3"
"2024-08-22","15:43:20","GW","72.9","85.1","47.6","-5.9","8798","98.8","96.8","1.169","6.3","71.7"
"2024-09-02","13:19:20","PW","78.6","96.6","42.7","-2.4","8676","134.6","135.7","1.228","11.9","71.4"
"2024-01-26","14:05:44","PW","77.8","97.1","41.1","-14.9","7939","130.3","132.7","1.248","18.1","67.7"
"2024-11-03","15:16:28","Driver","103.0","154.0","18.2","4.0","3422","306.1","312.0","1.495","-4.1","156.0"
"2024-10-10","13:35:59","SW","70.6","82.3","51.4","4.8","8898","93.2","91.7","1.167","16.3","64.9"
"2024-08-26","07:38:52","9H","90.4","118.3","21.3","6.1","6204","147.8","144.0","1.308","12.5","93.2"
"2024-07-24","13:11:41","3H","98.5","135.2","21.9","2.9","3889","209.9","214.0","1.373","13.1","156.5"
"2024-04-05","12:10:30","5H","94.6","126.2","22.2","-2.9","5536","169.0","165.7","1.334","9.2","117.8"
"2024-06-16","17:02:36","LW","63.0","70.0","51.0","8.3","9569","75.6","77.7","1.112","-7.4","55.5"
"2024-09-19","10:33:30","5W","96.8","136.6","18.6","-2.8","4640","226.0","227.3","1.411","-18.1","162.2"
"2024-08-07","12:42:28","7H","95.2","123.9","20.8","-9.0","5585","147.0","151.7","1.302","-15.3","114.0"
"2024-11-18","07:09:35","GW","78.0","89.8","45.8","-7.4","8772","101.1","96.2","1.151","-5.8","70.1"
"2024-09-20","16:40:03","6H","84.6","112.0","17.7","6.5","5368","155.1","151.3","1.324","-0.9","93.7"
"2024-01-23","12:30:07","3H","93.3","128.2","16.1","3.9","5494","172.2","172.5","1.374","-3.6","118.9"
"2024-12-09","06:10:58","LW","66.7","75.5","55.3","4.2","10035","81.2","79.6","1.133","19.6","43.9"
"2024-02-02","16:54:05","GW","71.1","84.1","46.3","-13.7","9620","95.2","100.0","1.183","-7.8","71.0"
"2024-09-02","06:20:43","PW","72.3","90.2","42.6","11.8","9798","141.2","150.4","1.249","0.6","90.9"
"2024-06-21","13:11:14","4H","85.7","116.1","17.9","7.3","3937","181.9","185.1","1.354","-10.8","110.5"
"2024-08-26","08:54:11","GW","74.5","88.0","51.6","5.5","9068","95.9","102.6","1.181","-1.5","66.2"
"2024-04-15","11:56:38","5H","89.9","118.7","17.3","-14.5","4731","172.8","181.6","1.320","14.8","113.8"
"2024-01-18","13:26:44","Driver","106.1","157.2","16.4","-9.4","3051","244.0","251.2","1.481","16.5","144.9"
"2024-06-08","07:02:32","4H","97.4","129.4","17.3","-3.8","4878","186.0","189.6","1.329","-16.9","126.5"
"2024-11-24","17:36:10","GW","72.6","83.6","52.4","-12.0","8887","109.8","112.0","1.151","0.5","75.1"
"2024-03-16","08:17:25","GW","74.8","87.6","46.6","3.9","9661","100.4","106.3","1.171","16.8","63.4"
"2024-10-14","11:06:50","PW","75.8","91.0","43.7","-9.3","8654","120.3","130.1","1.200","-12.7","93.9"
"2024-04-07","14:53:52","SW","69.0","80.9","49.2","-13.7","10204","118.4","113.5","1.172","-5.3","65.5"
"2024-08-17","09:50:15","LW","67.3","74.3","53.7","-14.7","9822","91.5","97.7","1.105","-16.5","70.5"
"2024-10-23","18:39:08","6H","91.2","121.3","23.0","13.7","5382","152.2","156.9","1.331","-18.2","115.6"
"2024-11-26","07:53:19","Driver","110.7","163.4","10.6","1.0","3991","294.6","292.7","1.477","-11.2","212.3"
"2024-07-25","18:46:11","LW","66.8","74.2","57.8","13.5","9982","72.8","74.9","1.111","-11.7","53.4"
"2024-03-01","12:29:06","Driver","109.4","163.2","11.3","-7.5","2034","236.0","241.5","1.492","8.9","152.1"
"2024-08-04","09:39:24","GW","73.4","85.7","51.1","-8.5","8773","99.9","99.9","1.167","14.9","77.4"
"2024-08-20","06:37:42","8H","86.2","114.9","22.4","-3.7","5133","167.8","163.0","1.333","7.1","121.9"
"2024-09-22","16:06:33","9H","86.2","113.4","21.7","-3.0","5563","161.0","166.3","1.316","18.8","122.0"
"2024-05-17","14:48:03","5H","86.7","115.3","17.7","11.0","5016","174.2","174.4","1.330","-15.4","95.6"
"2024-10-17","13:11:38","6H","93.1","124.1","21.6","-14.0","4735","165.9","167.6","1.334","10.0","108.5"
"2024-07-17","19:56:43","3H","88.8","122.1","18.1","11.2","3927","173.3","179.9","1.374","10.4","138.3"
"2024-05-26","09:10:31","Driver","108.6","161.2","12.2","-11.1","2232","266.2","267.5","1.483","19.4","133.2"
"2024-09-03","13:03:05","3W","90.3","128.6","14.3","9.7","4438","200.9","207.0","1.424","0.4","159.9"
"2024-11-05","12:32:19","6H","94.7","123.4","23.3","6.7","4750","140.0","143.9","1.304","16.3","104.4"
"2024-09-18","10:32:57","4H","96.7","129.7","16.9","-2.6","4011","170.5","177.7","1.342","-6.6","106.5"
"2024-10-08","11:49:19","Driver","95.5","141.3","17.4","14.3","3804","233.2","238.5","1.480","17.1","183.0"
"2024-03-07","08:28:45","3W","89.4","125.8","21.5","14.6","3551","199.1","200.1","1.408","-13.9","105.0"
"2024-09-18","11:07:39","4H","96.6","128.3","16.0","-14.9","3883","168.2","170.6","1.329","19.5","104.3"
"2024-05-18","14:02:36","2H","99.2","137.6","21.8","5.0","4523","214.1","216.9","1.387","5.8","155.1"
"2024-03-21","14:14:46","PW","77.6","94.7","44.2","-15.0","9848","113.5","117.0","1.221","1.1","87.0"
"2024-02-18","15:14:33","Driver","111.7","166.1","10.2","13.2","3428","219.6","223.4","1.488","5.2","120.0"
"2024-09-27","08:44:15","6H","90.8","120.0","23.3","2.2","4766","181.6","183.7","1.321","-7.3","91.9"
"2024-03-15","17:11:44","3W","91.2","130.0","21.7","-5.9","3639","198.5","200.6","1.425","17.3","126.2"
"2024-05-09","06:24:02","9H","91.1","119.5","17.6","-8.3","5643","156.8","153.8","1.312","16.1","82.6"
"2024-03-27","18:33:19","9H","84.4","112.6","23.4","-14.2","5197","184.6","188.2","1.335","-18.6","112.8"
"2024-10-28","13:49:08","5W","102.2","142.2","21.3","9.1","4544","176.3","180.9","1.391","-16.4","125.5"
"2024-01-01","09:46:31","GW","73.9","88.4","51.5","2.8","8715","99.8","104.7","1.196","7.1","52.7"
"2024-03-20","12:16:17","3H","94.0","128.7","20.7","-0.4","3610","215.4","223.3","1.370","-4.5","156.0"
"2024-07-13","13:45:50","PW","77.5","96.5","45.8","-4.4","9986","124.4","121.2","1.245","8.0","93.2"
"2024-09-02","17:56:46","6H","90.2","120.4","23.5","6.9","5480","149.9","150.0","1.335","-0.7","82.3"
"2024-06-07","07:00:49","6H","89.1","115.9","23.2","11.0","4786","182.3","186.7","1.301","-18.6","137.7"
"2024-01-02","11:15:46","GW","71.5","82.2","51.5","3.9","9165","117.1","123.5","1.151","-12.6","67.8"
"2024-07-11","07:02:14","3W","91.5","129.2","13.3","3.5","4770","211.1","219.2","1.411","11.4","122.3"
"2024-04-28","12:35:42","3H","100.1","137.5","20.7","-4.5","3751","197.5","206.2","1.373","-7.6","99.0"
"2024-06-05","16:00:43","LW","66.5","73.8","59.7","-9.2","10931","83.4","85.7","1.110","-11.5","51.8"
"2024-08-26","17:47:45","PW","76.6","95.3","45.4","6.5","8830","125.8","121.8","1.245","-9.5","70.5"
"2024-09-04","19:44:11","4H","91.1","123.6","18.9","-5.8","5076","151.8","159.3","1.357","-17.7","84.0"
"2024-09-17","19:49:47","LW","64.2","70.7","55.9","-10.3","10776","76.5","78.9","1.101","15.8","46.0"
"2024-05-28","06:53:58","6H","85.3","111.3","21.9","3.2","6032","169.0","174.0","1.305","-12.1","112.1"
"2024-03-08","18:01:01","5W","96.7","138.0","21.1","-1.5","4824","234.3","232.8","1.427","-8.3","186.8"
"2024-09-21","19:40:14","6H","89.7","117.4","18.5","-12.8","5925","178.2","187.3","1.308","6.8","126.6"
"2024-12-19","13:25:37","8H","89.7","117.3","19.2","1.3","4928","146.7","155.9","1.307","-10.4","110.5"
"2024-10-09","14:12:29","6H","88.4","115.7","22.3","7.3","5124","163.1","161.3","1.309","13.2","100.5"
"2024-01-28","14:06:20","3W","91.6","127.3","16.3","-12.8","4385","221.3","220.0","1.390","-7.8","135.3"
"2024-10-05","17:39:54","6H","84.8","110.4","20.7","13.6","4708","158.0","160.3","1.302","-16.5","111.6"
"2024-11-05","16:20:01","LW","65.0","71.7","56.0","13.2","10628","88.2","87.1","1.103","11.3","62.6"
"2024-11-20","18:43:03","8H","88.5","117.4","17.5","-2.3","6142","131.6","132.3","1.327","-7.3","67.9"
"2024-10-20","14:28:25","2H","95.7","131.0","20.7","4.1","4067","177.2","178.1","1.369","14.6","119.4"
"2024-02-02","06:51:58","3W","93.6","133.6","18.0","1.3","3857","205.9","211.2","1.428","-3.5","131.0"
"2024-12-26","15:54:45","Driver","96.2","140.4","15.8","-6.2","4085","283.9","293.8","1.460","-18.8","172.9"
"2024-07-28","16:04:33","2H","91.9","127.7","14.6","5.4","5027","189.9","185.5","1.390","6.7","118.4"
"2024-02-14","12:12:01","7H","86.9","114.9","16.8","-3.0","4621","160.2","163.0","1.322","-12.0","87.3"
"2024-05-23","16:59:59","6H","86.4","115.5","19.7","-10.3","5574","171.5","168.0","1.337","-17.6","101.6"
"2024-10-17","11:54:12","3W","99.3","137.4","21.1","-8.2","4472","208.0","206.6","1.383","-0.9","132.4"
"2024-01-06","11:09:36","4H","94.5","125.2","20.8","-14.3","4226","183.2","188.2","1.324","2.2","114.2"
"2024-06-27","12:41:07","3W","102.7","142.1","17.2","-10.2","3875","192.1","198.3","1.384","15.8","134.4"
"2024-07-02","08:28:18","GW","70.5","82.0","54.8","-13.6","9858","112.5","112.5","1.162","-6.5","59.5"
"2024-06-13","06:33:34","5H","93.0","125.6","15.6","-9.4","3832","151.5","147.5","1.350","-17.4","87.1"
"2024-03-28","14:31:50","GW","70.4","81.3","52.4","10.8","10043","115.8","111.0","1.155","5.1","76.2"
"2024-08-15","19:35:37","3W","90.8","126.1","13.8","-3.1","3908","229.3","230.6","1.389","-6.3","162.4"
"2024-08-08","06:28:20","GW","72.1","85.2","51.7","-6.3","9092","98.1","97.2","1.181","-3.7","56.3"
"2024-06-08","13:43:18","LW","63.0","71.3","52.3","13.3","9927","68.1","75.8","1.131","18.9","52.0"
"2024-12-28","16:52:27","GW","74.7","89.4","47.6","14.9","9058","104.9","105.2","1.196","-5.2","58.5"
"2024-07-07","13:49:02","5W","96.6","134.1","20.9","-14.3","4377","206.1","206.6","1.389","16.4","148.3"
"2024-10-25","15:49:12","GW","76.8","90.0","47.6","1.3","9817","97.3","106.6","1.172","13.7","57.6"
"2024-05-17","14:01:10","LW","65.3","72.7","53.8","3.8","9691","70.1","71.2","1.113","-11.5","52.8"
"2024-06-16","06:48:32","4H","88.1","119.2","17.9","4.4","5149","182.3","183.4","1.354","3.7","125.0"
"2024-03-17","11:02:36","5W","95.7","136.2","18.5","-11.6","3356","204.6","206.4","1.424","1.0","139.8"
"2024-09-14","11:38:12","3H","93.8","130.3","18.7","-8.6","4886","196.2","194.8","1.389","-14.5","117.4"
"2024-10-13","09:53:03","3H","96.2","131.4","15.2","-5.8","4183","167.2","175.2","1.367","-10.2","126.3"
"2024-03-19","18:39:44","LW","68.1","77.2","50.5","-2.5","9800","80.7","86.6","1.133","-10.5","47.0"
"2024-02-21","13:31:17","4H","91.4","122.5","16.9","10.0","5052","176.5","179.6","1.340","5.4","128.1"
"2024-09-23","13:29:57","SW","71.0","83.5","48.3","2.3","9235","90.9","88.9","1.175","1.6","63.4"
"2024-02-27","11:33:49","LW","66.4","75.5","58.5","12.2","10352","84.4","79.5","1.137","5.4","53.0"
"2024-06-23","15:42:11","9H","84.7","111.0","22.9","-7.4","5342","179.5","174.5","1.310","8.1","97.3"
"2024-01-14","18:10:43","Driver","115.4","168.0","14.6","2.8","3980","284.1","282.8","1.456","4.0","182.9"
"2024-09-05","11:40:05","3W","102.2","141.3","14.0","-7.6","3199","210.7","215.8","1.383","3.6","111.2"
"2024-08-24","16:46:03","4H","89.1","119.9","19.2","-10.8","5052","174.3","177.3","1.346","-16.5","103.7"
"2024-09-07","19:48:11","9H","84.0","110.5","23.6","-2.2","6409","168.1","171.1","1.315","-19.1","87.8"
"2024-02-24","18:34:24","PW","80.4","97.9","45.3","7.0","7552","127.8","125.0","1.216","9.6","69.3"
"2024-01-20","13:36:07","5W","93.4","132.0","20.5","-14.5","4739","189.7","190.2","1.413","-9.2","115.2"
"2024-10-20","15:57:57","Driver","106.2","156.0","16.6","-6.7","2013","257.8","257.1","1.469","-10.5","176.5"
"2024-07-09","12:09:00","8H","89.1","117.7","18.6","-8.4","6047","164.8","162.9","1.321","10.4","103.4"
"2024-02-10","18:29:30","3W","95.5","132.3","13.1","2.8","3345","218.3","213.5","1.386","-14.3","137.8"
"2024-03-25","19:35:05","6H","92.5","122.8","23.9","-8.4","5248","134.1","129.5","1.327","-7.9","105.8"
"2024-09-11","13:20:08","4H","84.9","115.3","17.2","-10.8","4513","169.9","177.1","1.357","9.5","95.6"
"2024-02-08","09:04:50","5W","92.3","128.5","17.2","-10.3","4744","215.7","215.2","1.393","13.7","163.3"
"2024-11-04","17:15:00","7H","84.7","112.9","20.4","-9.6","6379","173.7","182.3","1.334","15.7","119.8"
"2024-09-03","15:24:41","3H","94.2","131.5","19.9","12.6","4733","169.6","174.6","1.396","-4.7","114.9"
"2024-02-15","06:56:12","9H","96.1","125.0","19.9","-6.0","6291","131.4","133.5","1.301","10.1","91.3"
"2024-12-20","08:01:01","SW","69.8","80.4","53.2","10.7","10204","88.6","85.2","1.152","-0.5","65.2"
"2024-08-02","16:01:39","SW","69.2","82.0","49.3","6.7","8977","95.5","92.0","1.185","0.4","68.9"
"2024-01-27","11:33:53","PW","74.8","91.4","41.1","-3.1","9517","121.8","120.4","1.223","-19.9","91.3"
"2024-01-25","12:06:57","GW","74.3","85.7","52.4","5.5","10073","96.9","104.5","1.153","16.2","56.0"
"2024-05-01","17:40:23","GW","69.1","81.7","48.2","-3.6","10114","104.0","105.6","1.181","-14.1","53.7"
"2024-09-05","08:16:58","5H","97.9","129.3","22.6","11.2","4198","157.4","156.6","1.321","-19.7","104.5"
"2024-07-15","08:13:28","8H","92.5","120.8","23.2","0.6","5471","149.9","148.2","1.306","5.0","88.6"
"2024-06-08","16:49:30","7H","88.6","116.4","16.5","-6.5","4865","139.0","137.4","1.314","-11.3","71.7"
"2024-02-13","12:05:02","3H","87.2","121.2","16.8","8.0","5005","183.2","181.4","1.389","15.4","131.7"
"2024-08-03","16:09:23","3W","94.4","131.7","15.7","-8.9","4170","195.8","201.6","1.395","-12.9","111.3"
"2024-10-17","11:46:50","Driver","114.0","165.4","11.4","1.7","3950","300.0","300.9","1.450","-12.4","230.2"
"2024-11-02","11:05:09","SW","76.2","89.7","53.2","-10.6","9475","91.4","99.2","1.178","5.9","55.3"
"2024-08-09","06:00:43","6H","88.6","118.0","16.9","-8.4","5560","150.9","155.9","1.333","13.0","103.8"
"2024-07-22","12:27:43","4H","93.3","124.8","19.3","2.6","5069","159.2","163.1","1.338","10.4","84.4"
"2024-09-05","11:04:34","5W","96.3","134.3","19.7","-14.6","4826","207.6","210.3","1.395","-7.2","110.0"
"2024-11-15","11:15:42","9H","83.5","110.7","20.9","7.1","4599","134.6","137.4","1.326","-8.9","102.0"
"2024-08-05","15:28:56","8H","84.5","111.4","22.5","-14.9","6147","155.7","162.5","1.318","9.9","111.3"
"2024-01-11","15:42:44","3H","98.9","135.0","14.7","10.1","4149","178.6","186.8","1.365","4.9","110.9"
"2024-02-01","12:02:11","9H","92.1","120.1","21.3","-14.5","6407","149.0","145.8","1.304","16.7","102.5"
"2024-03-27","11:39:51","9H","93.3","124.8","16.1","-5.8","6287","160.9","159.7","1.337","16.0","84.4"
"2024-10-13","07:11:43","3H","88.3","122.6","17.3","-14.5","4434","198.8","206.8","1.389","-14.0","115.2"
"2024-12-14","13:56:28","SW","69.8","82.2","53.2","13.7","8706","96.4","103.9","1.177","0.6","59.3"
"2024-08-22","06:37:42","Driver","111.8","163.7","18.1","6.0","3605","269.4","277.8","1.464","-2.8","167.1"
"2024-01-06","14:04:58","7H","92.6","120.6","16.9","-3.2","4894","159.5","154.9","1.303","-17.6","107.3"
"2024-08-12","10:18:32","2H","96.0","130.5","17.5","-5.9","3610","190.9","192.2","1.359","11.5","138.7"
"2024-09-05","18:17:29","GW","76.2","89.1","47.2","8.3","10173","109.6","112.6","1.169","-11.4","83.6"
"2024-08-18","10:25:08","5H","93.5","127.1","21.3","-3.6","4968","179.2","182.8","1.359","1.7","108.6"
"2024-04-26","11:21:10","9H","88.1","116.4","19.1","0.2","6061","147.5","142.6","1.322","6.1","112.2"
"2024-01-13","10:52:33","2H","95.6","131.1","16.2","9.3","5032","177.8","185.7","1.371","11.3","115.2"
"2024-04-28","17:30:05","SW","69.5","81.6","52.8","-5.2","10372","90.2","90.6","1.175","3.5","51.0"
"2024-01-28","11:17:35","GW","74.0","86.8","46.3","3.7","10087","97.9","94.6","1.173","8.5","56.9"
"2024-07-14","19:21:17","GW","75.2","88.3","54.1","-9.4","8872","101.5","105.0","1.175","-5.9","78.1"
"2024-06-04","10:31:53","7H","86.5","114.3","23.3","3.9","4784","138.2","133.7","1.321","-15.7","89.2"
"2024-11-06","10:26:59","3W","104.0","144.5","21.1","8.0","3306","231.6","233.8","1.390","-0.5","161.2"
"2024-04-12","18:26:06","5H","93.3","123.4","17.5","-1.9","4736","172.5","179.1","1.323","-9.7","99.5"
"2024-08-27","13:48:29","5H","96.2","129.4","18.5","10.7","5454","154.3","150.8","1.346","-2.0","110.3"
"2024-07-13","12:51:03","5H","97.0","129.5","15.2","12.7","4173","182.5","183.7","1.335","-9.6","140.9"
"2024-11-23","17:24:51","GW","74.6","85.9","49.9","3.0","9499","105.7","108.9","1.152","1.3","61.8"
"2024-05-19","13:15:14","7H","86.2","112.5","18.9","-4.1","6145","145.9","144.2","1.304","12.3","104.8"
"2024-12-06","11:12:39","Driver","110.5","164.1","10.3","0.2","2361","271.1","275.7","1.485","-1.4","147.1"
"2024-01-25","18:18:44","SW","71.5","82.4","50.6","-0.1","8598","96.1","98.9","1.153","-9.6","71.2"
"2024-03-04","19:11:16","7H","89.0","119.2","23.2","1.0","5685","142.0","151.4","1.338","1.1","95.6"
"2024-03-22","11:46:33","7H","86.1","113.2","23.6","2.2","4595","142.3","145.1","1.314","4.9","108.6"
"2024-12-09","09:09:33","4H","88.0","116.6","21.1","-8.1","4104","162.7","171.3","1.326","12.4","118.3"
"2024-05-24","17:48:18","5H","94.0","126.7","21.6","1.9","5376","162.2","169.8","1.347","9.5","95.9"
"2024-08-05","15:06:52","5W","88.7","125.2","18.3","-10.0","3808","202.9","199.3","1.411","-18.6","105.1"
"2024-08-01","15:33:51","PW","78.2","97.7","43.8","4.2","9259","116.4","120.1","1.250","16.1","76.1"
"2024-07-21","06:07:39","4H","90.7","123.2","17.7","3.4","5343","150.1","158.1","1.358","3.0","100.6"
"2024-10-05","17:47:15","8H","84.8","112.0","19.1","-1.1","5767","173.4","173.1","1.321","14.0","136.9"
"2024-09-15","09:22:25","PW","72.5","90.4","40.1","-5.4","8513","111.5","119.6","1.247","-1.5","74.9"
"2024-05-09","12:58:36","3W","88.9","126.6","18.6","-2.7","4398","219.4","219.5","1.425","-4.9","112.1"
"2024-06-15","17:01:06","7H","85.3","111.2","22.6","-10.1","6201","150.7","151.7","1.304","-14.7","109.1"
"2024-11-15","10:40:56","GW","75.1","88.4","47.3","-13.2","9004","98.9","105.7","1.178","-16.3","73.1"
"2024-09-17","18:21:21","3H","95.6","133.5","16.1","-5.9","5046","202.6","210.4","1.396","-16.9","129.6"
"2024-10-05","10:12:58","2H","91.3","124.0","14.3","13.3","5034","165.4","163.3","1.359","-2.8","95.7"
"2024-06-08","16:36:05","LW","63.7","70.2","54.1","3.0","10820","66.5","69.3","1.103","-15.4","52.1"
"2024-05-07","09:58:59","LW","68.2","77.4","59.5","-14.8","10714","87.6","97.3","1.135","6.0","58.9"
"2024-10-24","10:16:15","8H","93.1","121.8","17.9","-13.6","5947","157.8","167.6","1.309","16.0","126.2"
"2024-08-09","14:05:53","9H","88.7","115.8","19.7","0.4","5286","182.5","190.7","1.306","8.4","132.2"
"2024-10-05","18:51:48","3H","93.5","129.0","17.9","6.0","4273","173.0","177.3","1.380","14.0","98.7"
"2024-12-15","19:24:57","4H","89.0","119.1","17.0","13.1","4840","176.8","185.9","1.338","6.1","115.2"
"2024-03-02","19:40:51","3W","98.2","139.5","20.8","-3.0","4838","210.9","216.6","1.420","-1.7","159.0"
"2024-09-22","15:16:53","7H","90.4","118.4","22.1","-11.5","5721","175.8","185.7","1.310","1.3","138.3"
"2024-06-11","12:30:47","8H","87.0","115.0","23.9","-9.6","6087","168.2","165.5","1.322","-8.4","130.7"
"2024-09-08","09:45:33","LW","68.3","76.3","55.5","0.6","10931","84.2","79.9","1.117","5.6","55.8"
"2024-04-03","08:36:42","Driver","107.8","159.6","11.7","-9.9","2929","231.9","235.3","1.481","3.1","163.8"
"2024-11-04","09:29:30","LW","67.4","74.2","57.7","4.5","10493","70.2","71.5","1.101","16.8","35.9"
"2024-03-15","18:46:23","2H","89.8","123.1","19.6","5.8","4895","177.6","174.6","1.371","-15.2","114.5"
"2024-01-02","09:18:27","5W","93.8","134.1","21.3","10.6","4142","215.8","214.2","1.430","-1.5","119.8"
"2024-10-03","10:50:37","5H","85.6","115.4","17.0","10.2","4966","155.4","162.7","1.349","16.7","112.6"
"2024-01-19","16:49:05","4H","96.1","127.2","20.9","-1.1","5554","166.3","170.6","1.324","10.9","97.0"
"2024-03-26","15:00:10","3H","96.2","134.3","16.0","14.2","5352","200.2","209.6","1.395","-18.2","110.7"
"2024-08-24","16:13:02","3H","93.3","126.5","18.1","-8.6","4590","197.3","194.4","1.355","10.9","150.5"
"2024-06-22","19:29:14","2H","97.0","135.3","15.8","10.8","4604","163.9","167.6","1.395","19.7","89.9"
"2024-10-03","16:02:16","SW","68.6","81.4","53.6","-4.8","10440","106.9","116.5","1.186","-9.8","63.9"
"2024-08-28","16:48:43","2H","89.4","122.8","14.3","5.6","4545","178.3","180.6","1.374","15.6","94.4"
"2024-02-06","19:05:09","LW","64.1","73.1","50.9","9.5","10955","63.3","62.7","1.140","1.8","35.0"
"2024-02-15","12:10:46","3W","103.1","143.5","21.5","-10.2","3786","192.8","189.5","1.392","2.8","117.0"
"2024-06-14","09:44:21","7H","85.9","112.7","19.9","10.7","5215","178.4","181.6","1.312","-12.1","134.1"
"2024-04-05","13:35:04","8H","83.6","111.1","18.1","-0.5","5099","140.6","143.8","1.328","16.0","110.6"
"2024-06-10","17:57:56","6H","91.4","121.4","16.2","1.3","5084","156.7","156.4","1.329","6.5","122.1"
"2024-03-15","11:49:22","LW","63.0","71.4","55.3","-1.4","9890","72.4","80.3","1.133","3.0","53.3"
"2024-04-13","09:43:33","3W","94.0","130.4","19.7","12.9","3776","191.3","193.4","1.387","-19.7","134.3"
"2024-07-14","18:26:08","2H","95.1","128.5","19.6","-3.0","5373","186.2","195.2","1.350","-17.5","95.7"
"2024-04-19","07:50:08","GW","69.2","80.7","49.3","13.2","9059","106.1","112.5","1.166","8.3","76.9"
"2024-06-16","09:06:48","SW","73.3","87.6","53.3","1.3","10344","108.0","112.7","1.195","-15.0","84.6"
"2024-09-18","16:27:58","8H","84.8","112.2","23.0","8.5","5517","145.4","151.6","1.323","-19.8","100.6"
"2024-07-18","08:00:53","7H","87.6","115.0","21.0","12.7","6065","158.9","167.2","1.314","1.9","109.3"
"2024-08-13","06:53:57","LW","68.0","76.9","55.6","5.2","10753","80.8","84.9","1.131","1.1","41.4"
"2024-06-20","17:43:05","Driver","99.4","145.9","21.5","-1.1","3519","272.1","269.1","1.468","18.7","194.1"
"2024-06-11","15:21:57","LW","65.4","74.1","50.9","-9.0","9580","73.0","82.4","1.133","-17.0","50.1"
"2024-02-07","11:09:09","8H","87.2","116.7","23.2","-7.7","6116","150.8","146.8","1.338","3.7","107.6"
"2024-06-13","16:23:14","4H","92.1","123.6","17.2","5.3","5193","182.4","182.1","1.343","2.0","125.7"
"2024-01-01","09:58:14","3W","102.6","142.5","19.0","-4.5","4634","236.2","245.8","1.389","1.5","172.8"
"2024-10-21","09:38:02","3H","88.9","120.3","14.0","1.7","4218","183.6","179.8","1.353","12.0","112.4"
"2024-11-14","17:44:25","5H","92.1","125.1","18.5","-8.9","4923","166.2","172.0","1.358","-0.2","86.2"
"2024-02-25","15:04:24","5H","97.1","128.5","18.8","7.8","4490","159.4","157.2","1.323","-18.4","114.2"
"2024-11-21","10:22:12","4H","91.2","121.1","16.3","-2.9","4087","190.2","192.1","1.327","-19.1","119.2"
"2024-04-25","13:01:45","4H","90.2","121.5","22.6","9.3","4626","180.3","185.4","1.347","-19.0","99.1"
"2024-09-10","17:23:39","7H","91.5","121.6","19.1","4.8","6017","158.0","165.6","1.329","-11.3","104.6"
"2024-10-15","09:41:26","LW","65.7","74.7","50.8","5.5","10159","74.8","82.7","1.137","15.5","37.7"
"2024-12-19","07:07:59","GW","73.6","85.4","47.6","-11.0","9079","109.9","113.9","1.159","8.3","59.6"
"2024-05-22","13:52:57","8H","92.9","123.4","23.7","-12.9","6006","168.6","177.7","1.327","-11.6","128.4"
"2024-01-18","08:35:32","4H","88.0","118.4","22.0","3.3","4898","147.8","144.0","1.346","-1.9","86.2"
"2024-01-15","12:28:19","4H","88.3","118.9","20.9","-4.9","4182","167.2","170.5","1.346","-16.8","131.2"
"2024-06-25","08:24:41","LW","63.4","71.0","50.2","-5.0","10864","76.2","77.6","1.120","-3.9","47.1"
"2024-10-10","06:57:19","6H","88.1","115.2","16.3","-12.7","4932","139.2","135.6","1.308","7.5","78.1"
"2024-08-08","14:26:55","Driver","97.3","143.0","17.7","14.9","4422","305.2","309.1","1.470","5.2","231.5"
"2024-02-07","06:55:19","SW","68.2","80.4","53.4","-3.3","8816","89.0","90.9","1.180","-15.1","69.9"
